"city","lat","lon"
"Seattle, WA",47.6062,-122.3321
"Denver, CO",39.7392,-104.9903
"Los Angeles, CA",34.0522,-118.2437
"San Diego, CA",32.7157,-117.1611
"Chicago, IL",41.8781,-87.6298
"Las Vegas, NV",36.1699,-115.1398
"Albuquerque, NM",35.0844,-106.6504
"New Orleans, LA",29.9511,-90.0715
"Kansas City, KS",39.1141,-94.6275
"Minneapolis, MN",44.9778,-93.265
"Miami, FL",25.7617,-80.1918
"Orlando, FL",28.5383,-81.3792
"Atlanta, GA",33.749,-84.388
"Washington, DC",38.9072,-77.0369
"New York, NY",40.7128,-74.006
"Syracuse, NY",43.0481,-76.1474
