"StateAbbrev","StationCount","PercentageDiff","region","electricvehicle","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","StationsPer1000EVs"
"AK",66,-95.2863876589059,"alaska",2700,"900","10,600","9,600","46,800","0","0","0","0","454,300","29,800","5,100",2444.44444444444
"AL",479,-65.7906013426653,"alabama",13000,"5,800","63,300","54,200","441,200","100","100","0","0","4,102,200","127,000","29,000",3684.61538461538
"AR",348,-75.1464076560491,"arkansas",7100,"3,200","37,000","37,000","276,700","200","0","0","0","2,246,100","90,700","10,300",4901.40845070423
"AZ",1361,-2.7996000571347,"arizona",89800,"25,600","175,700","68,600","437,100","600","700","0","0","5,469,000","197,700","64,200",1515.59020044543
"CA",16857,1103.89944293672,"california",1256600,"410,700","1,703,200","201,600","1,314,600","10,100","1,500","16,900","0","31,191,900","735,300","7,900",1341.47700143244
"CO",2355,68.1902585344951,"colorado",90100,"37,500","152,700","68,100","334,300","300","100","0","0","4,508,800","203,400","46,500",2613.76248612653
"CT",1220,-12.8695900585631,"connecticut",31600,"18,400","75,300","10,900","133,600","100","0","0","0","2,612,600","42,300","20,900",3860.75949367089
"DE",247,-82.3596629052992,"delaware",8400,"3,800","22,900","5,100","63,900","0","0","0","0","791,300","14,200","5,100",2940.47619047619
"FL",3676,162.533923725182,"florida",254900,"57,300","414,500","170,500","1,101,100","400","100","0","0","16,136,500","351,800","96,100",1442.13417026285
"GA",2150,53.5494929295815,"georgia",92400,"22,700","175,300","92,500","719,400","300","200","0","0","8,256,400","206,300","76,900",2326.83982683983
"HI",350,-75.0035709184402,"hawaii",25600,"7,300","36,400","3,400","37,300","0","0","0","0","951,000","15,400","3,700",1367.1875
"IA",452,-67.7188973003857,"iowa",9000,"6,100","57,200","41,700","331,300","100","0","0","0","2,545,400","105,000","57,500",5022.22222222222
"ID",212,-84.8593058134552,"idaho",8500,"4,600","43,700","45,900","132,900","100","100","0","0","1,568,600","138,600","31,600",2494.11764705882
"IL",1483,5.913440937009,"illinois",99600,"33,400","285,400","61,500","772,900","300","0","0","0","8,560,300","170,200","59,600",1488.95582329317
"IN",639,-54.3636623339523,"indiana",26100,"12,900","119,100","56,300","576,300","300","0","0","0","5,166,200","156,400","58,500",2448.27586206897
"KS",543,-61.2198257391801,"kansas",11300,"5,600","50,400","27,900","253,500","200","100","0","0","2,168,600","87,400","16,100",4805.30973451327
"KY",345,-75.3606627624625,"kentucky",11600,"5,600","67,100","36,900","361,200","300","0","0","0","3,415,000","117,600","24,400",2974.13793103448
"LA",289,-79.3600914155121,"louisiana",8200,"4,000","40,200","64,200","380,100","100","0","0","0","3,142,800","115,500","19,100",3524.39024390244
"MA",3532,152.24967861734,"massachusetts",73800,"43,800","187,300","21,300","285,000","200","0","0","0","4,791,300","58,400","30,000",4785.90785907859
"MD",1548,10.5556349092987,"maryland",72100,"31,300","168,700","32,100","309,300","300","0","0","0","4,327,800","86,900","31,500",2147.01803051318
"ME",520,-62.8624482216826,"maine",7400,"7,600","33,600","12,000","104,500","0","0","0","0","1,036,100","26,900","7,900",7027.02702702703
"MI",1625,16.0548493072418,"michigan",50300,"29,100","148,100","70,400","873,700","300","0","0","0","7,129,600","174,500","49,400",3230.61630218688
"MN",903,-35.5092129695758,"minnesota",37100,"16,100","124,500","52,700","516,400","100","0","0","0","4,219,200","127,900","24,500",2433.96226415094
"MO",1264,-9.72718183116698,"missouri",26900,"13,900","113,900","70,400","575,500","900","100","0","0","4,608,600","178,200","37,600",4698.88475836431
"MS",181,-87.0732752463934,"mississippi",3600,"2,000","28,200","34,900","295,200","100","0","0","0","2,275,600","75,200","8,500",5027.77777777778
"MT",150,-89.2872446793315,"montana",4600,"2,500","21,100","37,900","94,500","0","0","0","0","780,700","69,600","10,800",3260.86956521739
"NC",1749,24.9107270389944,"north carolina",70200,"23,700","210,600","80,200","655,000","300","100","0","0","7,764,000","209,700","71,700",2491.45299145299
