Country,Troops Deployed
Afghanistan,0
Albania,11
Algeria,14
American Samoa,18
Andorra,0
Angola,11
Antigua & Barbuda,0
Argentina,31
Armenia,14
Australia,732
Austria,22
Azerbaijan,15
Bahamas,63
Bahrain,3500
Bangladesh,14
Barbados,13
Belarus,0
Belgium,1115
Belize,9
Benin,8
Bhutan,0
Bolivia,11
Bosnia & Herzegovina,17
Bosnia and Herzegovina,0
Botswana,17
Brazil,62
Brunei,2
Bulgaria,19
Burkina Faso,24
Burundi,11
Cambodia,10
Cameroon,15
Canada,153
Cape Verde,3
Central African Republic,15
Chad,20
Chile,41
China,64
Colombia,64
Comoros,0
Congo,0
Congo - Brazzaville,10
Congo - Kinshasa,17
Costa Rica,17
Côte D’ivoire,15
Croatia,13
Cuba,616
Cyprus,11
Czech Republic,0
Czechia,16
Democratic Republic of the Congo,0
Denmark,16
Djibouti,406
Dominica,0
Dominican Republic,19
East Timor,0
Ecuador,24
Egypt,176
El Salvador,60
Equatorial Guinea,0
Eritrea,0
Estonia,20
Eswatini,8
Ethiopia,13
Federated States of Micronesia,0
Fiji,4
Finland,32
France,81
Gabon,12
Gambia,7
Georgia,29
Germany,36541
Ghana,21
Gibraltar,3
Greece,402
Greenland,136
Grenada,0
Guam,7540
Guatemala,17
Guinea,11
Guinea-Bissau,0
Guyana,11
Haiti,54
Honduras,365
Hong Kong,16
Hungary,84
Iceland,3
India,64
Indonesia,36
Iran,0
Iraq,0
Ireland,12
Israel,115
Italy,12482
Ivory Coast,0
Jamaica,13
Japan,55154
Jordan,120
Kazakhstan,28
Kenya,72
Kiribati,1
Kosovo,16
Kuwait,533
Kyrgyzstan,12
Laos,12
Latvia,20
Lebanon,21
Lesotho,0
Liberia,13
Libya,0
Liechtenstein,0
Lithuania,19
Luxembourg,7
Macedonia,0
Madagascar,13
Malawi,7
Malaysia,24
Maldives,0
Mali,16
Malta,13
Marshall Islands,15
Mauritania,13
Mauritius,1
Mexico,88
Micronesia (Federated States Of),3
Moldova,12
Monaco,0
Mongolia,12
Montenegro,12
Morocco,39
Mozambique,10
Myanmar,0
Myanmar (Burma),12
Namibia,10
Nauru,0
Nepal,16
Netherlands,419
Netherlands Antilles,0
New Zealand,14
Nicaragua,9
Niger,14
Nigeria,37
North Korea,0
North Macedonia,11
Norway,1439
Oman,29
Pakistan,74
Palau,83
Panama,28
Papua New Guinea,13
Paraguay,16
Peru,49
Philippines,311
Poland,302
Portugal,247
Puerto Rico,4920
Qatar,303
Romania,140
Russia,41
Rwanda,11
Samoa,6
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,258
Senegal,22
Seychelles,0
Sierra Leone,11
Singapore,229
Slovakia,15
Slovenia,11
Solomon Islands,0
Somalia,60
South Africa,45
South Korea,24515
South Sudan,16
Spain,3307
Sri Lanka,18
St. Kitts and Nevis,0
St. Lucia,0
St. Vincent and the Grenadines,0
Sudan,1
Suriname,1
Swaziland,0
Sweden,21
Switzerland,22
Syria,0
Taiwan,47
Tajikistan,14
Tanzania,18
Thailand,111
Timor-Leste,1
Togo,7
Tonga,0
Trinidad & Tobago,10
Trinidad and Tobago,0
Tunisia,22
Turkey,1692
Turkmenistan,10
Tuvalu,0
Uganda,14
Ukraine,18
United Arab Emirates,177
United Kingdom,10204
United States,1110799
Uruguay,16
US Virgin Islands,133
Uzbekistan,16
Vanuatu,0
Venezuela,0
Vietnam,33
Wake Island,4
Yemen,4
Yugoslavia,15
Zambia,10
Zimbabwe,11
